frame,capture_time,log_time,hmd_position_x,hmd_position_y,hmd_position_z,hmd_rotation_x,hmd_rotation_y,hmd_rotation_z,hmd_rotation_w,gaze_status,combined_gaze_forward_x,combined_gaze_forward_y,combined_gaze_forward_z,combined_gaze_position_x,combined_gaze_position_y,combined_gaze_position_z,inter_pupillary_distance_mm,left_eye_status,left_eye_forward_x,left_eye_forward_y,left_eye_forward_z,left_eye_position_x,left_eye_position_y,left_eye_position_z,left_pupil_iris_ratio,left_pupil_diameter_mm,left_iris_diameter_mm,left_eye_openness,right_eye_status,right_eye_forward_x,right_eye_forward_y,right_eye_forward_z,right_eye_position_x,right_eye_position_y,right_eye_position_z,right_pupil_iris_ratio,right_pupil_diameter_mm,right_iris_diameter_mm,right_eye_openness,focus_distance,focus_stability,time_s,time_ms,sample_dt_ms,gaze_azimuth_deg,gaze_elevation_deg,in_invalid_run,invalid_run_id,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,pupil_left_out_of_bounds,pupil_right_out_of_bounds,pupil_asymmetry_exceeded,focus_distance_sentinel,focus_out_of_bounds,focus_unstable,interpolated_left_pupil,interpolated_right_pupil,excluded
725152,1000003884631745500,63875744676000,0,0,0,0,0,0,1,VALID,-0.021,-0.034,0.999,0,0,0,52.375,VALID,0.033,-0.007,0.999,-0.028,0,0,0.419,2.888,6.887,0.877,VALID,-0.021,-0.034,0.999,0.028,0,0,0.426,2.749,6.454,0.818,0.8338683,0,0,0,,-1.2042384288299293,-1.9484320243766013,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725153,1000003884636765600,63875744676000,0,0,0,0,0,0,1,VALID,-0.02,-0.034,0.999,0,0,0,52.375,VALID,0.033,-0.007,0.999,-0.028,0,0,0.419,2.888,6.887,0.879,VALID,-0.02,-0.034,0.999,0.028,0,0,0.426,2.749,6.454,0.824,0.8432757,0,0.0050201,5.0201,5.0201,-1.1469094417273433,-1.9484320243766013,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725154,1000003884641758300,63875744676000,0,0,0,0,0,0,1,VALID,-0.02,-0.034,0.999,0,0,0,52.375,VALID,0.033,-0.007,0.999,-0.028,0,0,0.419,2.887,6.887,0.882,VALID,-0.02,-0.034,0.999,0.028,0,0,0.426,2.748,6.454,0.828,0.8496581,0,0.0100128,10.0128,4.9927,-1.1469094417273433,-1.9484320243766013,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725155,1000003884646778400,63875744676000,0,0,0,0,0,0,1,VALID,-0.02,-0.033,0.999,0,0,0,52.375,VALID,0.033,-0.007,0.999,-0.028,0,0,0.419,2.886,6.887,0.885,VALID,-0.02,-0.033,0.999,0.028,0,0,0.426,2.747,6.454,0.832,0.8539737,0,0.0150329,15.0329,5.020099999999999,-1.1469094417273433,-1.8911040652841664,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725156,1000003884651797000,63875744676000,0,0,0,0,0,0,1,VALID,-0.02,-0.033,0.999,0,0,0,52.375,VALID,0.032,-0.007,0.999,-0.028,0,0,0.419,2.885,6.887,0.886,VALID,-0.02,-0.033,0.999,0.028,0,0,0.425,2.746,6.454,0.835,0.8567936,0,0.0200515,20.0515,5.018600000000001,-1.1469094417273433,-1.8911040652841664,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725157,1000003884656817100,63875744676000,0,0,0,0,0,0,1,VALID,-0.02,-0.032,0.999,0,0,0,52.375,VALID,0.032,-0.007,0.999,-0.028,0,0,0.419,2.885,6.887,0.888,VALID,-0.02,-0.032,0.999,0.028,0,0,0.425,2.745,6.454,0.838,0.8645837,0,0.0250716,25.0716,5.020099999999999,-1.1469094417273433,-1.833778000046647,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725158,1000003884661835700,63875744676000,0,0,0,0,0,0,1,VALID,-0.02,-0.032,0.999,0,0,0,52.375,VALID,0.032,-0.007,0.999,-0.028,0,0,0.419,2.884,6.887,0.89,VALID,-0.02,-0.032,0.999,0.028,0,0,0.425,2.743,6.454,0.839,0.866951,0,0.0300902,30.0902,5.018599999999999,-1.1469094417273433,-1.833778000046647,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725159,1000003884666855800,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.032,0.999,0,0,0,52.375,VALID,0.032,-0.006,0.999,-0.028,0,0,0.419,2.883,6.887,0.892,VALID,-0.02,-0.032,0.999,0.028,0,0,0.425,2.742,6.454,0.842,0.8707209,0,0.0351103,35.1103,5.020100000000003,-1.1469094417273433,-1.833778000046647,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725160,1000003884671874400,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.032,0.999,0,0,0,52.375,VALID,0.032,-0.006,0.999,-0.028,0,0,0.418,2.882,6.887,0.89,VALID,-0.02,-0.032,0.999,0.028,0,0,0.425,2.741,6.454,0.847,0.8693583,0,0.0401289,40.1289,5.018599999999999,-1.1469094417273433,-1.833778000046647,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
725161,1000003884676869300,63875744676001,0,0,0,0,0,0,1,VALID,-0.02,-0.031,0.999,0,0,0,52.375,VALID,0.032,-0.006,0.999,-0.028,0,0,0.418,2.881,6.887,0.892,VALID,-0.02,-0.031,0.999,0.028,0,0,0.425,2.74,6.454,0.854,0.8692754,0,0.0451238,45.1238,4.994900000000001,-1.1469094417273433,-1.7764537710952644,false,,true,true,true,false,false,false,false,false,false,false,true,false,false,false
