frame,time_s,gaze_status,left_eye_status,right_eye_status,left_eye_openness,right_eye_openness,focus_distance,focus_stability,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,focus_distance_sentinel,focus_out_of_bounds,focus_unstable,in_invalid_run,invalid_run_id
725152,0,VALID,VALID,VALID,0.877,0.818,0.8338683,0,true,true,true,false,false,false,false,true,false,
725153,0.0050201,VALID,VALID,VALID,0.879,0.824,0.8432757,0,true,true,true,false,false,false,false,true,false,
725154,0.0100128,VALID,VALID,VALID,0.882,0.828,0.8496581,0,true,true,true,false,false,false,false,true,false,
725155,0.0150329,VALID,VALID,VALID,0.885,0.832,0.8539737,0,true,true,true,false,false,false,false,true,false,
725156,0.0200515,VALID,VALID,VALID,0.886,0.835,0.8567936,0,true,true,true,false,false,false,false,true,false,
725157,0.0250716,VALID,VALID,VALID,0.888,0.838,0.8645837,0,true,true,true,false,false,false,false,true,false,
725158,0.0300902,VALID,VALID,VALID,0.89,0.839,0.866951,0,true,true,true,false,false,false,false,true,false,
725159,0.0351103,VALID,VALID,VALID,0.892,0.842,0.8707209,0,true,true,true,false,false,false,false,true,false,
725160,0.0401289,VALID,VALID,VALID,0.89,0.847,0.8693583,0,true,true,true,false,false,false,false,true,false,
725161,0.0451238,VALID,VALID,VALID,0.892,0.854,0.8692754,0,true,true,true,false,false,false,false,true,false,
725162,0.0501424,VALID,VALID,VALID,0.894,0.855,0.8697525,0.3751999,true,true,true,false,false,false,false,false,false,
725163,0.055161,VALID,VALID,VALID,0.893,0.859,0.8681142,0.3480136,true,true,true,false,false,false,false,false,false,
725164,0.0601404,VALID,VALID,VALID,0.896,0.864,0.8639259,0.3286722,true,true,true,false,false,false,false,false,false,
725165,0.0651163,VALID,VALID,VALID,0.895,0.866,0.8494494,0.3640021,true,true,true,false,false,false,false,false,false,
725166,0.0701574,VALID,VALID,VALID,0.895,0.867,0.8364815,0.4116057,true,true,true,false,false,false,false,false,false,
725167,0.0751788,VALID,VALID,VALID,0.897,0.866,0.826709,0.5144989,true,true,true,false,false,false,false,false,false,
725168,0.0801694,VALID,VALID,VALID,0.896,0.868,0.826238,0.5987425,true,true,true,false,false,false,false,false,false,
725169,0.0851812,VALID,VALID,VALID,0.896,0.869,0.8258686,0.6014414,true,true,true,false,false,false,false,false,false,
725170,0.0901943,VALID,VALID,VALID,0.896,0.87,0.8263748,0.7419555,true,true,true,false,false,false,false,false,false,
725171,0.0952231,VALID,VALID,VALID,0.896,0.87,0.8204506,0.5934829,true,true,true,false,false,false,false,false,false,
725172,0.1002362,VALID,VALID,VALID,0.895,0.873,0.8161911,0.5977273,true,true,true,false,false,false,false,false,false,
725173,0.1052493,VALID,VALID,VALID,0.894,0.873,0.8123772,0.5054353,true,true,true,false,false,false,false,false,false,
725174,0.1102611,VALID,VALID,VALID,0.893,0.873,0.8089929,0.4121578,true,true,true,false,false,false,false,false,false,
725175,0.1152651,VALID,VALID,VALID,0.892,0.877,0.8065137,0.3992666,true,true,true,false,false,false,false,false,false,
725176,0.1202543,VALID,VALID,VALID,0.892,0.879,0.8030896,0.4337446,true,true,true,false,false,false,false,false,false,
725177,0.1252719,VALID,VALID,VALID,0.893,0.878,0.7991894,0.448089,true,true,true,false,false,false,false,false,false,
725178,0.1303386,VALID,VALID,VALID,0.889,0.881,0.7939894,0.4687098,true,true,true,false,false,false,false,false,false,
725179,0.135334,VALID,VALID,VALID,0.886,0.882,0.7891431,0.5012683,true,true,true,false,false,false,false,false,false,
725180,0.1403464,VALID,VALID,VALID,0.887,0.882,0.7843742,0.5260853,true,true,true,false,false,false,false,false,false,
725181,0.1453715,VALID,VALID,VALID,0.887,0.883,0.7792032,0.5231228,true,true,true,false,false,false,false,false,false,
725182,0.1503839,VALID,VALID,VALID,0.885,0.884,0.7743719,0.5467602,true,true,true,false,false,false,false,false,false,
725183,0.155397,VALID,VALID,VALID,0.883,0.884,0.7687284,0.5604393,true,true,true,false,false,false,false,false,false,
725184,0.1604094,VALID,VALID,VALID,0.882,0.884,0.7645019,0.6513069,true,true,true,false,false,false,false,false,false,
725185,0.1654225,VALID,VALID,VALID,0.883,0.883,0.7606121,0.6582366,true,true,true,false,false,false,false,false,false,
725186,0.170412,VALID,VALID,VALID,0.884,0.881,0.7559707,0.6629525,true,true,true,false,false,false,false,false,false,
725187,0.175389,VALID,VALID,VALID,0.882,0.882,0.7517361,0.7602662,true,true,true,false,false,false,false,false,false,
725188,0.180417,VALID,VALID,VALID,0.878,0.88,0.7454416,0.7374444,true,true,true,false,false,false,false,false,false,
725189,0.1854803,VALID,VALID,VALID,0.88,0.879,0.7379642,0.7330105,true,true,true,false,false,false,false,false,false,
725190,0.1904979,VALID,VALID,VALID,0.877,0.88,0.7234049,0.6589322,true,true,true,false,false,false,false,false,false,
725191,0.1954593,VALID,VALID,VALID,0.871,0.88,0.7143898,0,true,true,true,false,false,false,false,true,false,
725192,0.2004769,VALID,VALID,VALID,0.865,0.879,2,0,true,true,true,false,false,false,false,true,false,
725193,0.2054945,VALID,VALID,VALID,0.851,0.878,0.8378082,0,true,true,true,false,false,false,false,true,false,
725194,0.210518,VALID,VALID,VALID,0.837,0.876,0.8029097,0,true,true,true,false,false,false,false,true,false,
725195,0.2155356,VALID,VALID,VALID,0.826,0.878,0.7672537,0,true,true,true,false,false,false,false,true,false,
725196,0.2205532,VALID,VALID,VALID,0.812,0.881,0.7334318,0,true,true,true,false,false,false,false,true,false,
725197,0.2255708,VALID,VALID,VALID,0.803,0.887,0.7113953,0,true,true,true,false,false,false,false,true,false,
725198,0.2305392,VALID,VALID,VALID,0.798,0.894,0.6967396,0,true,true,true,false,false,false,false,true,false,
725199,0.2355568,VALID,VALID,VALID,0.792,0.901,0.684825,0,true,true,true,false,false,false,false,true,false,
725200,0.2405803,VALID,VALID,VALID,0.789,0.909,0.6350995,0,true,true,true,false,false,false,false,true,false,
725201,0.2456215,VALID,VALID,VALID,0.786,0.915,0.6048359,0,true,true,true,false,false,false,false,true,false,
725202,0.250645,VALID,VALID,VALID,0.784,0.922,0.5853839,0,true,true,true,false,false,false,false,true,false,
725203,0.2556694,VALID,VALID,VALID,0.784,0.927,0.5715324,0,true,true,true,false,false,false,false,true,false,
725204,0.2606938,VALID,VALID,VALID,0.783,0.932,0.5618939,0,true,true,true,false,false,false,false,true,false,
725205,0.2657201,VALID,VALID,VALID,0.78,0.936,0.5570679,0,true,true,true,false,false,false,false,true,false,
725206,0.2707436,VALID,VALID,VALID,0.78,0.94,0.5585487,0,true,true,true,false,false,false,false,true,false,
725207,0.2756391,VALID,VALID,VALID,0.781,0.943,0.558642,0,true,true,true,false,false,false,false,true,false,
725208,0.2806626,VALID,VALID,VALID,0.78,0.946,0.5838962,0,true,true,true,false,false,false,false,true,false,
725209,0.2856889,VALID,VALID,VALID,0.778,0.948,0.6009879,0,true,true,true,false,false,false,false,true,false,
725210,0.2907124,VALID,VALID,VALID,0.778,0.95,0.5892494,0,true,true,true,false,false,false,false,true,false,
725211,0.2957387,VALID,VALID,VALID,0.778,0.952,0.6031176,0,true,true,true,false,false,false,false,true,false,
725212,0.3007733,VALID,VALID,VALID,0.777,0.954,0.6139561,0,true,true,true,false,false,false,false,true,false,
725213,0.3057996,VALID,VALID,VALID,0.776,0.955,0.6200414,0,true,true,true,false,false,false,false,true,false,
725214,0.3108259,VALID,VALID,VALID,0.775,0.957,0.6220773,0,true,true,true,false,false,false,false,true,false,
725215,0.3158522,VALID,VALID,VALID,0.775,0.958,0.621509,0,true,true,true,false,false,false,false,true,false,
725216,0.3208868,VALID,VALID,VALID,0.776,0.959,0.6193966,0,true,true,true,false,false,false,false,true,false,
725217,0.3258692,VALID,VALID,VALID,0.776,0.96,0.6157492,0,true,true,true,false,false,false,false,true,false,
