frame,time_s,left_pupil_diameter_mm,right_pupil_diameter_mm,left_pupil_iris_ratio,right_pupil_iris_ratio,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,pupil_left_out_of_bounds,pupil_right_out_of_bounds,pupil_asymmetry_exceeded,interpolated_left_pupil,interpolated_right_pupil
725152,0,2.888,2.749,0.419,0.426,true,true,true,false,false,false,false,false,false,false
725153,0.0050201,2.888,2.749,0.419,0.426,true,true,true,false,false,false,false,false,false,false
725154,0.0100128,2.887,2.748,0.419,0.426,true,true,true,false,false,false,false,false,false,false
725155,0.0150329,2.886,2.747,0.419,0.426,true,true,true,false,false,false,false,false,false,false
725156,0.0200515,2.885,2.746,0.419,0.425,true,true,true,false,false,false,false,false,false,false
725157,0.0250716,2.885,2.745,0.419,0.425,true,true,true,false,false,false,false,false,false,false
725158,0.0300902,2.884,2.743,0.419,0.425,true,true,true,false,false,false,false,false,false,false
725159,0.0351103,2.883,2.742,0.419,0.425,true,true,true,false,false,false,false,false,false,false
725160,0.0401289,2.882,2.741,0.418,0.425,true,true,true,false,false,false,false,false,false,false
725161,0.0451238,2.881,2.74,0.418,0.425,true,true,true,false,false,false,false,false,false,false
725162,0.0501424,2.88,2.739,0.418,0.424,true,true,true,false,false,false,false,false,false,false
725163,0.055161,2.879,2.738,0.418,0.424,true,true,true,false,false,false,false,false,false,false
725164,0.0601404,2.878,2.738,0.418,0.424,true,true,true,false,false,false,false,false,false,false
725165,0.0651163,2.877,2.736,0.418,0.424,true,true,true,false,false,false,false,false,false,false
725166,0.0701574,2.876,2.735,0.418,0.424,true,true,true,false,false,false,false,false,false,false
725167,0.0751788,2.876,2.732,0.418,0.423,true,true,true,false,false,false,false,false,false,false
725168,0.0801694,2.875,2.729,0.417,0.423,true,true,true,false,false,false,false,false,false,false
725169,0.0851812,2.874,2.727,0.417,0.423,true,true,true,false,false,false,false,false,false,false
725170,0.0901943,2.873,2.724,0.417,0.422,true,true,true,false,false,false,false,false,false,false
725171,0.0952231,2.872,2.722,0.417,0.422,true,true,true,false,false,false,false,false,false,false
725172,0.1002362,2.869,2.72,0.417,0.422,true,true,true,false,false,false,false,false,false,false
725173,0.1052493,2.868,2.719,0.416,0.421,true,true,true,false,false,false,false,false,false,false
725174,0.1102611,2.866,2.717,0.416,0.421,true,true,true,false,false,false,false,false,false,false
725175,0.1152651,2.864,2.715,0.416,0.421,true,true,true,false,false,false,false,false,false,false
725176,0.1202543,2.863,2.713,0.416,0.42,true,true,true,false,false,false,false,false,false,false
725177,0.1252719,2.861,2.711,0.415,0.42,true,true,true,false,false,false,false,false,false,false
725178,0.1303386,2.86,2.71,0.415,0.42,true,true,true,false,false,false,false,false,false,false
725179,0.135334,2.858,2.708,0.415,0.42,true,true,true,false,false,false,false,false,false,false
725180,0.1403464,2.857,2.707,0.415,0.419,true,true,true,false,false,false,false,false,false,false
725181,0.1453715,2.855,2.705,0.414,0.419,true,true,true,false,false,false,false,false,false,false
725182,0.1503839,2.853,2.703,0.414,0.419,true,true,true,false,false,false,false,false,false,false
725183,0.155397,2.852,2.701,0.414,0.419,true,true,true,false,false,false,false,false,false,false
725184,0.1604094,2.851,2.699,0.414,0.418,true,true,true,false,false,false,false,false,false,false
725185,0.1654225,2.849,2.696,0.414,0.418,true,true,true,false,false,false,false,false,false,false
725186,0.170412,2.848,2.695,0.414,0.418,true,true,true,false,false,false,false,false,false,false
725187,0.175389,2.847,2.693,0.413,0.417,true,true,true,false,false,false,false,false,false,false
725188,0.180417,2.846,2.692,0.413,0.417,true,true,true,false,false,false,false,false,false,false
725189,0.1854803,2.842,2.688,0.413,0.416,true,true,true,false,false,false,false,false,false,false
725190,0.1904979,2.831,2.683,0.411,0.416,true,true,true,false,false,false,false,false,false,false
725191,0.1954593,2.83,2.691,0.411,0.417,true,true,true,false,false,false,false,false,false,false
725192,0.2004769,2.819,2.688,0.409,0.417,true,true,true,false,false,false,false,false,false,false
725193,0.2054945,2.809,2.68,0.408,0.415,true,true,true,false,false,false,false,false,false,false
725194,0.210518,2.797,2.675,0.406,0.415,true,true,true,false,false,false,false,false,false,false
725195,0.2155356,2.784,2.67,0.404,0.414,true,true,true,false,false,false,false,false,false,false
725196,0.2205532,2.779,2.661,0.403,0.412,true,true,true,false,false,false,false,false,false,false
725197,0.2255708,2.774,2.656,0.403,0.411,true,true,true,false,false,false,false,false,false,false
725198,0.2305392,2.772,2.653,0.402,0.411,true,true,true,false,false,false,false,false,false,false
725199,0.2355568,2.77,2.651,0.402,0.411,true,true,true,false,false,false,false,false,false,false
725200,0.2405803,2.77,2.651,0.402,0.411,true,true,true,false,false,false,false,false,false,false
725201,0.2456215,2.769,2.651,0.402,0.411,true,true,true,false,false,false,false,false,false,false
725202,0.250645,2.768,2.651,0.402,0.411,true,true,true,false,false,false,false,false,false,false
725203,0.2556694,2.767,2.651,0.402,0.411,true,true,true,false,false,false,false,false,false,false
725204,0.2606938,2.766,2.652,0.402,0.411,true,true,true,false,false,false,false,false,false,false
725205,0.2657201,2.765,2.652,0.401,0.411,true,true,true,false,false,false,false,false,false,false
725206,0.2707436,2.764,2.652,0.401,0.411,true,true,true,false,false,false,false,false,false,false
725207,0.2756391,2.763,2.652,0.401,0.411,true,true,true,false,false,false,false,false,false,false
725208,0.2806626,2.762,2.652,0.401,0.411,true,true,true,false,false,false,false,false,false,false
725209,0.2856889,2.76,2.652,0.401,0.411,true,true,true,false,false,false,false,false,false,false
725210,0.2907124,2.759,2.652,0.401,0.411,true,true,true,false,false,false,false,false,false,false
725211,0.2957387,2.758,2.651,0.4,0.411,true,true,true,false,false,false,false,false,false,false
725212,0.3007733,2.757,2.65,0.4,0.411,true,true,true,false,false,false,false,false,false,false
725213,0.3057996,2.757,2.649,0.4,0.411,true,true,true,false,false,false,false,false,false,false
725214,0.3108259,2.755,2.649,0.4,0.41,true,true,true,false,false,false,false,false,false,false
725215,0.3158522,2.754,2.647,0.4,0.41,true,true,true,false,false,false,false,false,false,false
725216,0.3208868,2.754,2.646,0.4,0.41,true,true,true,false,false,false,false,false,false,false
725217,0.3258692,2.753,2.645,0.4,0.41,true,true,true,false,false,false,false,false,false,false
725218,0.3307845,2.752,2.644,0.4,0.41,true,true,true,false,false,false,false,false,false,false
725219,0.3358108,2.751,2.643,0.399,0.409,true,true,true,false,false,false,false,false,false,false
