frame,time_s,gaze_status,combined_gaze_forward_x,combined_gaze_forward_y,combined_gaze_forward_z,gaze_valid,in_invalid_run,sample_dt_ms,gaze_azimuth_deg,gaze_elevation_deg
725152,0,VALID,-0.021,-0.034,0.999,true,false,,-1.2042384288299293,-1.9484320243766013
725153,0.0050201,VALID,-0.02,-0.034,0.999,true,false,5.0201,-1.1469094417273433,-1.9484320243766013
725154,0.0100128,VALID,-0.02,-0.034,0.999,true,false,4.9927,-1.1469094417273433,-1.9484320243766013
725155,0.0150329,VALID,-0.02,-0.033,0.999,true,false,5.020099999999999,-1.1469094417273433,-1.8911040652841664
725156,0.0200515,VALID,-0.02,-0.033,0.999,true,false,5.018600000000001,-1.1469094417273433,-1.8911040652841664
725157,0.0250716,VALID,-0.02,-0.032,0.999,true,false,5.020099999999999,-1.1469094417273433,-1.833778000046647
725158,0.0300902,VALID,-0.02,-0.032,0.999,true,false,5.018599999999999,-1.1469094417273433,-1.833778000046647
725159,0.0351103,VALID,-0.02,-0.032,0.999,true,false,5.020100000000003,-1.1469094417273433,-1.833778000046647
725160,0.0401289,VALID,-0.02,-0.032,0.999,true,false,5.018599999999999,-1.1469094417273433,-1.833778000046647
725161,0.0451238,VALID,-0.02,-0.031,0.999,true,false,4.994900000000001,-1.1469094417273433,-1.7764537710952644
725162,0.0501424,VALID,-0.02,-0.031,0.999,true,false,5.018599999999999,-1.1469094417273433,-1.7764537710952644
725163,0.055161,VALID,-0.02,-0.031,0.999,true,false,5.018599999999999,-1.1469094417273433,-1.7764537710952644
725164,0.0601404,VALID,-0.02,-0.032,0.999,true,false,4.979399999999998,-1.1469094417273433,-1.833778000046647
725165,0.0651163,VALID,-0.02,-0.033,0.999,true,false,4.975899999999996,-1.1469094417273433,-1.8911040652841664
725166,0.0701574,VALID,-0.02,-0.034,0.999,true,false,5.0411,-1.1469094417273433,-1.9484320243766013
725167,0.0751788,VALID,-0.02,-0.034,0.999,true,false,5.0214,-1.1469094417273433,-1.9484320243766013
