Frame,CaptureTime,LogTime,HMDPositionX,HMDPositionY,HMDPositionz,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationHuh,GazeStatus,CombinedGazeForwardX,CombinedGazeForwardY,CombinedGazeForwardZ,CombinedGazePositionX,CombinedGazePositionY,CombinedGazePositionZ,InterPupillaryDistanceInMM,LeftEyeStatus,LeftEyeForwardX,LeftEyeForwardY,LeftEyeForwardZ,LeftEyePositionX,LeftEyePositionY,LeftEyePositionZ,LeftPupilIrisDiameterRatio,LeftPupilDiameterInMM,LeftIrisDiameterInMM,left Eye Openness,RightEyeStatus,RightEyeForwardX,RightEyeForwardY,RightEyeForwardZ,RightEyePositionX,RightEyePositionY,RightEyePositionZ,RightPupilIrisDiameterRatio,RightPupilDiameterInMM,RightIrisDiameterInMM,Right Eye Openness,FocusDistance,FocusStability
725152,1000003884631745500,63875744676000,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.021, -0.034, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.033, -0.007, 0.999),(-0.028, 0.000, 0.000),0.419,2.888,6.887,0.877,VALID,(-0.021, -0.034, 0.999),(0.028, 0.000, 0.000),0.426,2.749,6.454,0.818,0.8338683,0
725153,1000003884636765600,63875744676000,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.034, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.033, -0.007, 0.999),(-0.028, 0.000, 0.000),0.419,2.888,6.887,0.879,VALID,(-0.020, -0.034, 0.999),(0.028, 0.000, 0.000),0.426,2.749,6.454,0.824,0.8432757,0
725154,1000003884641758300,63875744676000,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.034, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.033, -0.007, 0.999),(-0.028, 0.000, 0.000),0.419,2.887,6.887,0.882,VALID,(-0.020, -0.034, 0.999),(0.028, 0.000, 0.000),0.426,2.748,6.454,0.828,0.8496581,0
725155,1000003884646778400,63875744676000,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.033, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.033, -0.007, 0.999),(-0.028, 0.000, 0.000),0.419,2.886,6.887,0.885,VALID,(-0.020, -0.033, 0.999),(0.028, 0.000, 0.000),0.426,2.747,6.454,0.832,0.8539737,0
725156,1000003884651797000,63875744676000,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.033, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.007, 0.999),(-0.028, 0.000, 0.000),0.419,2.885,6.887,0.886,VALID,(-0.020, -0.033, 0.999),(0.028, 0.000, 0.000),0.425,2.746,6.454,0.835,0.8567936,0
725157,1000003884656817100,63875744676000,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.032, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.007, 0.999),(-0.028, 0.000, 0.000),0.419,2.885,6.887,0.888,VALID,(-0.020, -0.032, 0.999),(0.028, 0.000, 0.000),0.425,2.745,6.454,0.838,0.8645837,0
725158,1000003884661835700,63875744676000,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.032, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.007, 0.999),(-0.028, 0.000, 0.000),0.419,2.884,6.887,0.890,VALID,(-0.020, -0.032, 0.999),(0.028, 0.000, 0.000),0.425,2.743,6.454,0.839,0.866951,0
725159,1000003884666855800,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.032, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.419,2.883,6.887,0.892,VALID,(-0.020, -0.032, 0.999),(0.028, 0.000, 0.000),0.425,2.742,6.454,0.842,0.8707209,0
725160,1000003884671874400,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.032, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.418,2.882,6.887,0.890,VALID,(-0.020, -0.032, 0.999),(0.028, 0.000, 0.000),0.425,2.741,6.454,0.847,0.8693583,0
725161,1000003884676869300,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.031, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.418,2.881,6.887,0.892,VALID,(-0.020, -0.031, 0.999),(0.028, 0.000, 0.000),0.425,2.740,6.454,0.854,0.8692754,0
725162,1000003884681887900,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.031, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.418,2.880,6.887,0.894,VALID,(-0.020, -0.031, 0.999),(0.028, 0.000, 0.000),0.424,2.739,6.454,0.855,0.8697525,0.3751999
725163,1000003884686906500,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.031, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.418,2.879,6.887,0.893,VALID,(-0.020, -0.031, 0.999),(0.028, 0.000, 0.000),0.424,2.738,6.454,0.859,0.8681142,0.3480136
725164,1000003884691885900,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.032, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.418,2.878,6.887,0.896,VALID,(-0.020, -0.032, 0.999),(0.028, 0.000, 0.000),0.424,2.738,6.454,0.864,0.8639259,0.3286722
725165,1000003884696861800,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.020, -0.033, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.006, 0.999),(-0.028, 0.000, 0.000),0.418,2.877,6.887,0.895,VALID,(-0.020, -0.033, 0.999),(0.028, 0.000, 0.000),0.424,2.736,6.454,0.866,0.8494494,0.3640021
